initial,solution,fitness,duration
3181746149101922820152524011721161121323,1172318172261814024195921431316201215102,1314452,16.00464916229248
6139852124182002310121647191231722111514,1619711221521122065101314239311802482417,1286664,6.13607120513916
3412139161232018112102225198241410157176,2151916921123232082201014181324147511176,1289118,9.402132511138916
1671122203121315549181721142319108620241,1191481032042418715623212251392016171211,1307764,11.032749891281128
1931924414100520182212761113232171615821,1510171133121124161475019220462391821228,1316852,16.377837657928467
3122021119245131712492320721186158161410,4131792120522162312241911151814802163107,1272160,9.965433597564697
1220102319132141162451161539271422170188,1421171803715122231122131610198962024514,1300410,8.995697259902954
2145612232214101331199188152011242071617,1320624741850191712282232311151416101219,1285074,21.791165351867676
1522149101224819420136511181620231172173,1815131224143201121619101422023821759176,1320012,20.13250708580017
2312244616305910152219721172131120181418,6971831181015201622312224144190211317512,1319626,10.619957685470581
5112032064219171024147222318181316121519,1861617814913322419010211552412172311220,1326262,10.659252166748047
2021213225140211424111516171936897102318,5101424918231316481531917102276211121220,1290800,20.972217321395874
2120161423185219241761372201101284911315,8141152223139206172118112410219016372415,1348176,23.28069257736206
1817051920121314158243221711221961610234,2213192417164121118361402110782232051159,1318210,9.584019184112549
9723102162011118513221284319162141715024,1602218202116241512452391910148112171373,1294490,6.795452117919922
1813517121014231822642115919112403202716,1819151413272022516892102412111713231046,1303788,15.962146043777466
2212615111324823181032191440171592016721,1801612142142471552213109811233191726201,1302066,21.039915561676025
2182257142418692201912100117162311134153,2414702210819132174620191831251621231115,1293526,7.495773077011108
7121722136151912410314112082118216423095,3112241492017224131601102118196852371215,1331712,7.412401914596558
1323198121516161022411189147200532242117,2241432415527161021820119131817126023911,1331774,21.721911191940308
2321183016148171212249151119222064513107,1021714182021424231361181559160197312212,1324328,17.59178400039673
4191615122111302410131881722720141629523,1612231918014811711209135642127153221024,1287648,6.062764406204224
1923313221807142015621016211211171245849,2401520231716136121918921132281172145104,1305632,5.236346483230591
1683211141296102201523180221317571419241,1123198205223217113941220241061517161814,1302968,11.44013500213623
2229194811182310032411271516211451720613,6424320210221451316811721918231291015711,1323738,19.763061046600342
6101222272116241181352317811419920014153,1131817149710122302483191522116164220215,1308780,7.385072708129883
2116173157121881924223116132241109520140,1696818021917107213131523202215241441211,1291542,5.871673822402954
1019201624722421223128318956111417101315,1022151481202316210132121975176918113424,1296934,19.917844772338867
1822230153115132019416172692411481221710,1623101314961948151720311151218021222724,1306414,16.762491941452026
1343141621918624191202017222101187123155,2420166194152953180822117231121127141310,1305034,6.405450344085693
3236249127116104142581802217191311212015,2022132419219307651284216181011114231517,1350680,4.743481159210205
2319241613101449351720622812182110721115,2011019221221701416712244832311131896155,1321744,18.93252182006836
2124911319010236201118151254732282141617,0161018131917675824142331112912204212215,1317088,17.57055687904358
2423012781914159213518143102116221720116,1918613924715161482312542312220111021170,1316200,6.349096298217773
1497132153622021716811024122318420151911,3715018102168144222461113521120199231217,1307896,5.180199861526489
1081623211218519141156112130942224320177,1124191021818314160172052176422121523139,1333662,12.840513467788696
1423211116102403811991315422207126185172,2413191486122002223171715109161141823215,1370200,14.01524806022644
2421712471920211181522186123163010951314,8161112107139546141152231723180212201924,1285556,6.499486923217773
5201573241718142223214601982161011121319,1112211917231490131018221643762051282415,1306244,5.379697561264038
1213182092211121417724823561521010316419,1731406511132322201019416179212418158212,1352318,12.812556743621826
1214850418241123932017132212119162710156,1512601316231132172045141021181722249198,1359992,12.403384447097778
2016194311232217218141271302186195152410,1301681720391123211065121521411924227418,1279594,6.550353288650513
1121192423010672151322161494201181217835,1620461003715218231221119135182219241417,1335384,6.037114143371582
2123722126112416185132015231094148191017,1514594181372319161701224220821622111310,1326316,12.065741539001465
1702256131715161221142024112193984182310,0839121413115231124224561018211917167202,1351342,10.401557683944702
1913221221017161451012611242043157818923,1318122251931620232416142115810071149172,1296702,6.226078033447266
1922291862301241171121207141624101351583,8105161812491322331622142021717190151124,1338552,6.606935262680054
2093612410721502218241423511191211713816,2112320871615149211519186120102213317424,1336834,8.886154413223267
2431101782024139615722231219181105161421,2201821169113514242361042231901711712158,1309352,8.424895763397217
6182291052031711720241819211323415161412,6124851324223151621221118209141019073171,1294898,5.435727596282959
